Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
Resultados Após Avaliação /Results After Evaluation ;;;;;;;;;;;;;;
Lista ordenada da categoria de Investigador Principal / Ranked list of Principal Researchers;;;;;;;;;;;;;;
Reference/Referência;Nome Candidato/Applicant;Categoria/Contract Level;Painel de Avaliação/Evaluation Panel;Instituição Acolhimento/Host Institution;Classificação Final/Final Score;Classificação Final Consolidada/Consolidated Final Score;Recomendação para financiamento/Recommended for funding?;;;;;;;
CEECIND/03266/2018;E. Glenn Schellenberg;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação e Intervenção Social (CIS-IUL/ISCTE-IUL);10;10;Yes;;;;;;;
CEECIND/02275/2018;Antonio Vassallo;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);9,7;9,4;Yes;;;;;;;
CEECIND/03345/2018;Jörg Dieter Becker;Principal researcher;Agricultural and Veterinary Sciences;Biorecursos para a Sustentabilidade (GREEN-IT/ITQB NOVA/UNL);9,7;9,4;Yes;;;;;;;
CEECIND/01334/2018;Nuno Teotonio Viegas Guerreiro Leonardo;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);9,7;9,4;Yes;;;;;;;
CEECIND/03268/2018;Caren Norden;Principal researcher;Biological Sciences AR, PR and CR;Instituto Gulbenkian de Ciência (IGC/FCG);9,7;9,4;Yes;;;;;;;
CEECIND/02589/2018;Claudio Areias Franco;Principal researcher;Basic and Clinical Medicine;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);9,6;9,4;Yes;;;;;;;
CEECIND/02234/2018;Claudia Bank;Principal researcher;Biological Sciences AR, PR and CR;Instituto Gulbenkian de Ciência (IGC/FCG);9,6;9,2;Yes;;;;;;;
CEECIND/00826/2018;Sergio Antonio Goncalves de Sousa;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);9,6;9,2;Yes;;;;;;;
CEECIND/03592/2018;Maria Elsa Marques Peralta da Silva;Principal researcher;Arts and Other Humanities;Centro de Estudos Comparatistas (CEC/FL/ULisboa);9,6;9,2;Yes;;;;;;;
CEECIND/00698/2018;Andrea Daher;Principal researcher;Sociology and Other Social Sciences;Centro de Humanidades (CHAM/FCSH/UNL);9,5;9,1;Yes;;;;;;;
